DD,TK ,2606 ,DİYARBAKIR          ,                    ,1915,2015,101,KALKTI-DEPARTED     ,04.08.2015
DD,TK ,2660 ,SİVAS               ,                    ,1930,2015,106,KALKTI-DEPARTED     ,04.08.2015
DD,TK ,2470 ,ADANA               ,                    ,1940,2005,107,KALKTI-DEPARTED     ,04.08.2015
DD,TP ,8800 ,ADANA               ,                    ,1940,2005,107,KALKTI-DEPARTED     ,04.08.2015
DD,PC ,2817 ,İZMİR               ,                    ,2000,2020,102,KALKTI-DEPARTED     ,04.08.2015
DD,TK ,2338 ,İZMİR               ,                    ,2000,2015,103,KALKTI-DEPARTED     ,04.08.2015
DD,TP ,8804 ,İZMİR               ,                    ,2000,2015,103,KALKTI-DEPARTED     ,04.08.2015
DD,TK ,2636 ,MALATYA             ,                    ,2005,2045,105,KALKTI-DEPARTED     ,04.08.2015
DD,TP ,8814 ,ANTALYA             ,                    ,2015,2045,404,KALKTI-DEPARTED     ,04.08.2015
DD,TK ,2830 ,TRABZON             ,                    ,2015,2015,403,KALKTI-DEPARTED     ,04.08.2015
DD,TK ,2434 ,ANTALYA             ,                    ,2015,2045,404,KALKTI-DEPARTED     ,04.08.2015
DD,TK ,2644 ,ELAZIĞ              ,                    ,2015,2030,109,KALKTI-DEPARTED     ,04.08.2015
DD,8Q ,158  ,İZMİR               ,                    ,2040,2040,401,KALKTI-DEPARTED     ,04.08.2015
DD,TK ,2596 ,ALANYA GAZİPASA     ,                    ,2050,2115,101,KALKTI-DEPARTED     ,04.08.2015
DD,TK ,2018 ,KAYSERİ             ,                    ,2050,2050,407,KALKTI-DEPARTED     ,04.08.2015
DD,OZ ,6945 ,KAYSERİ             ,                    ,2050,2050,407,KALKTI-DEPARTED     ,04.08.2015
DD,SK ,3460 ,BODRUM              ,                    ,2055,2055,108,KALKTI-DEPARTED     ,04.08.2015
DD,TK ,2524 ,BODRUM              ,                    ,2055,2055,108,KALKTI-DEPARTED     ,04.08.2015
DD,TK ,2340 ,İZMİR               ,                    ,2100,2100,112,KALKTI-DEPARTED     ,04.08.2015
DD,SK ,3448 ,İZMİR               ,                    ,2100,2100,112,KALKTI-DEPARTED     ,04.08.2015
DD,TK ,2814 ,SAMSUN              ,                    ,2100,2100,405,KALKTI-DEPARTED     ,04.08.2015
DD,TK ,2570 ,DALAMAN             ,                    ,2110,2130,102,KAPI KAPANDI-GATE CLOSED,04.08.2015
DD,8Q ,228  ,ANTALYA             ,                    ,2110,2110,403,KALKTI-DEPARTED     ,04.08.2015
DD,8Q ,176  ,SAMSUN              ,                    ,2115,2130,110,KAPI KAPANDI-GATE CLOSED,04.08.2015
DD,8Q ,020  ,KAYSERİ             ,                    ,2120,2120,402,KAPI KAPANDI-GATE CLOSED,04.08.2015
DD,8Q ,018  ,ADANA               ,                    ,2120,0120,406,GECİKMELİ-DELAYED   ,04.08.2015
DD,TK ,2038 ,KONYA               ,                    ,2125,2125,106,KAPI KAPANDI-GATE CLOSED,04.08.2015
DD,TK ,2228 ,GAZİANTEP           ,                    ,2125,2240,110,GECİKMELİ-DELAYED   ,04.08.2015
DD,KK ,028  ,İZMİR               ,                    ,2130,2145,408,KAPI KAPANDI-GATE CLOSED,04.08.2015
DD,TK ,2610 ,DİYARBAKIR          ,                    ,2130,2130,405,KAPI KAPANDI-GATE CLOSED,04.08.2015
DD,TK ,2182 ,ANKARA              ,                    ,2130,2130,104,KALKTI-DEPARTED     ,04.08.2015
