DD,XQ , 9229,İZMİR        ,             ,2220,2220,   ,WAIT IN LOUNGE,04.08.2015
DD,PC ,  159,SABİHA GÖKÇEN,             ,2235,2335,   ,COUNTER OPEN,04.08.2015
DD,TK , 2229,İSTANBUL     ,             ,2345,0045,   ,DELAY,04.08.2015
DD,TK , 2237,İSTANBUL     ,             ,0350,0350,   , ,05.08.2015
DD,PC , 4457,SABİHA GÖKÇEN,             ,0530,0530,   , ,05.08.2015
DD,THY, 7275,SABİHA GÖKÇEN,             ,0610,0610,   , ,05.08.2015
DD,KK ,  097,İSTANBUL     ,             ,0630,0630,   , ,05.08.2015
DD,THY, 7121,ANKARA       ,             ,0635,0635,   , ,05.08.2015
DD,8Q ,  043,İSTANBUL     ,             ,0640,0640,   , ,05.08.2015
DD,TK , 2221,İSTANBUL     ,             ,0720,0720,   , ,05.08.2015
DD,THY, 7271,SABİHA GÖKÇEN,             ,0900,0900,   , ,05.08.2015
DD,PC , 4159,SABİHA GÖKÇEN,             ,0955,0955,   , ,05.08.2015
DD,THY, 7127,ANKARA       ,             ,1025,1025,   , ,05.08.2015
DD,KK ,  091,İSTANBUL     ,             ,1035,1035,   , ,05.08.2015
DD,TK , 2225,İSTANBUL     ,             ,1050,1050,   , ,05.08.2015
DD,TK , 2223,İSTANBUL     ,             ,1345,1345,   , ,05.08.2015
DD,PC , 4459,SABİHA GÖKÇEN,             ,1355,1355,   , ,05.08.2015
DD,TK , 2227,İSTANBUL     ,             ,1940,1940,   , ,05.08.2015
DD,PC , 4157,SABİHA GÖKÇEN,             ,2030,2030,   , ,05.08.2015
DD,XQ , 7647,ANTALYA      ,             ,2030,2030,   , ,05.08.2015
DD,THY, 7125,ANKARA       ,             ,2125,2125,   , ,05.08.2015
DD,THY, 7273,SABİHA GÖKÇEN,             ,2135,2135,   , ,05.08.2015
