DD,PC ,4109 ,İSTANBUL-SAW        ,                    ,1845,2009,111,KALKTI-DEPARTED     ,04.08.2015
DD,THY,7074 ,ERZURUM             ,                    ,1935,2045,114,KALKTI-DEPARTED     ,04.08.2015
DD,THY,7146 ,DİYARBAKIR          ,                    ,1935,2015,112,KALKTI-DEPARTED     ,04.08.2015
DD,THY,7255 ,İSTANBUL-SAW        ,                    ,1940,2022,110,KALKTI-DEPARTED     ,04.08.2015
DD,THY,7154 ,BODRUM              ,                    ,1940,2012,302,KALKTI-DEPARTED     ,04.08.2015
DD,THY,7176 ,DALAMAN             ,                    ,1940,2009,103,KALKTI-DEPARTED     ,04.08.2015
DD,THY,7170 ,BALIKESİR           ,                    ,1945,2102,109,KALKTI-DEPARTED     ,04.08.2015
DD,THY,7014 ,İZMİR               ,                    ,1945,2100,113,KALKTI-DEPARTED     ,04.08.2015
DD,THY,7124 ,GAZİANTEP           ,                    ,1945,2015,304,KALKTI-DEPARTED     ,04.08.2015
DD,PC ,113  ,İSTANBUL-SAW        ,                    ,1950,2040,108,KALKTI-DEPARTED     ,04.08.2015
DD,THY,7104 ,ADANA               ,                    ,1950,2024,115,KALKTI-DEPARTED     ,04.08.2015
DD,THY,7032 ,ANTALYA             ,                    ,1955,2033,107,KALKTI-DEPARTED     ,04.08.2015
DD,THY,7134 ,SAMSUN              ,                    ,2000,2039,104,KALKTI-DEPARTED     ,04.08.2015
DD,TK ,2171 ,İSTANBUL            ,                    ,2000,2018,105,KALKTI-DEPARTED     ,04.08.2015
DD,PC ,2466 ,BODRUM              ,                    ,2010,2039,111,KALKTI-DEPARTED     ,04.08.2015
DD,TK ,2981 ,İSTANBUL-SAW        ,                    ,2100,2130,114,KALKTI-DEPARTED     ,04.08.2015
DD,THY,7168 ,TRABZON             ,                    ,2130,2245,103,GECİKMELİ-DELAYED   ,04.08.2015
DD,TK ,2175 ,İSTANBUL            ,                    ,2130,2143,107,KALKTI-DEPARTED     ,04.08.2015
DD,PC ,111  ,İSTANBUL-SAW        ,                    ,2135,2300,110,GECİKMELİ-DELAYED   ,04.08.2015
DD,AB ,4808 ,İSTANBUL-SAW        ,                    ,2135,2300,110,GECİKMELİ-DELAYED   ,04.08.2015
DD,TK ,2979 ,İSTANBUL-SAW        ,                    ,2155,2155,304,UÇAĞA GİDİNİZ-BOARDING,04.08.2015
DD,TK ,2101 ,ANTALYA             ,                    ,2200,2215,113,SON ÇAĞRI-LAST CALL ,04.08.2015
DD,THY,7106 ,ADANA               ,                    ,2320,2335,104,GECİKMELİ-DELAYED   ,04.08.2015
DD,THY,7257 ,İSTANBUL-SAW        ,                    ,2320,0015,110,GECİKMELİ-DELAYED   ,04.08.2015
DD,THY,7054 ,ELAZIĞ              ,                    ,2320,2320,115,KONTUAR AÇIK-COUNTER OPEN,04.08.2015
DD,THY,7058 ,MALATYA             ,                    ,2320,0015,109,GECİKMELİ-DELAYED   ,04.08.2015
DD,THY,7180 ,ÇORLU               ,                    ,2320,2340,105,GECİKMELİ-DELAYED   ,04.08.2015
DD,THY,7198 ,ALANYA GAZİPASA     ,                    ,2325,2340,106,GECİKMELİ-DELAYED   ,04.08.2015
DD,THY,7166 ,SİVAS               ,                    ,2325,0010,301,GECİKMELİ-DELAYED   ,04.08.2015
DD,PC ,2137 ,İZMİR               ,                    ,2325,2325,113,KONTUAR AÇIK-COUNTER OPEN,04.08.2015
DD,THY,7016 ,İZMİR               ,                    ,2330,0010,108,GECİKMELİ-DELAYED   ,04.08.2015
DD,THY,7036 ,ANTALYA             ,                    ,2330,0020,103,GECİKMELİ-DELAYED   ,04.08.2015
DD,THY,7116 ,ŞANLIURFA           ,                    ,2330,2330,112,KONTUAR AÇIK-COUNTER OPEN,04.08.2015
DD,THY,7164 ,BURSA               ,                    ,2330,0005,303,GECİKMELİ-DELAYED   ,04.08.2015
DD,THY,7120 ,GAZİANTEP           ,                    ,2335,0035,107,GECİKMELİ-DELAYED   ,04.08.2015
DD,THY,7148 ,DİYARBAKIR          ,                    ,2335,2350,302,GECİKMELİ-DELAYED   ,04.08.2015
DD,THY,7068 ,TRABZON             ,                    ,2340,0010,114,GECİKMELİ-DELAYED   ,04.08.2015
DD,TK ,2185 ,İSTANBUL            ,                    ,2355,2355,111,KONTUAR AÇIK-COUNTER OPEN,04.08.2015
DD,TK ,2105 ,İSTANBUL            ,                    ,0415,0415,   ,                    ,05.08.2015
DD,PC ,2139 ,İZMİR               ,                    ,0525,0525,   ,                    ,05.08.2015
DD,TK ,2115 ,İSTANBUL            ,                    ,0600,0600,   ,                    ,05.08.2015
DD,TK ,2961 ,İSTANBUL-SAW        ,                    ,0600,0600,   ,                    ,05.08.2015
DD,PC ,4107 ,İSTANBUL-SAW        ,                    ,0620,0620,   ,                    ,05.08.2015
DD,TK ,2111 ,İSTANBUL            ,                    ,0630,0630,   ,                    ,05.08.2015
DD,TK ,2107 ,İSTANBUL            ,                    ,0700,0700,   ,                    ,05.08.2015
DD,TK ,2113 ,İSTANBUL            ,                    ,0730,0730,   ,                    ,05.08.2015
DD,BRJ,601  ,SİİRT               ,                    ,0750,0750,   ,                    ,05.08.2015
DD,THY,9200 ,SİİRT               ,                    ,0750,0750,   ,                    ,05.08.2015
DD,AB ,4800 ,İSTANBUL-SAW        ,                    ,0810,0810,   ,                    ,05.08.2015
DD,PC ,103  ,İSTANBUL-SAW        ,                    ,0810,0810,   ,                    ,05.08.2015
DD,TK ,2963 ,İSTANBUL-SAW        ,                    ,0825,0825,   ,                    ,05.08.2015
DD,THY,7060 ,TRABZON             ,                    ,0830,0830,   ,                    ,05.08.2015
DD,THY,7004 ,İZMİR               ,                    ,0830,0830,   ,                    ,05.08.2015
DD,THY,7070 ,ERZURUM             ,                    ,0830,0830,   ,                    ,05.08.2015
DD,THY,7142 ,DİYARBAKIR          ,                    ,0830,0830,   ,                    ,05.08.2015
DD,THY,7150 ,BODRUM              ,                    ,0835,0835,   ,                    ,05.08.2015
DD,PC ,2131 ,İZMİR               ,                    ,0835,0835,   ,                    ,05.08.2015
DD,THY,7082 ,VAN                 ,                    ,0845,0845,   ,                    ,05.08.2015
DD,THY,7192 ,HAKKARI             ,                    ,0845,0845,   ,                    ,05.08.2015
DD,THY,7100 ,ADANA               ,                    ,0845,0845,   ,                    ,05.08.2015
DD,THY,7024 ,ANTALYA             ,                    ,0845,0845,   ,                    ,05.08.2015
