DD,TK ,2913 ,İSTANBUL-SAW        ,                    ,1935,2020,239,KALKTI-DEPARTED     ,04.08.2015
DD,XQ ,9228 ,GAZİANTEP           ,                    ,2010,2010,123,KALKTI-DEPARTED     ,04.08.2015
DD,XQ ,9282 ,DİYARBAKIR          ,                    ,2010,2010,122,KALKTI-DEPARTED     ,04.08.2015
DD,PC ,121  ,İSTANBUL-SAW        ,                    ,2010,2010,237,KALKTI-DEPARTED     ,04.08.2015
DD,XQ ,9264 ,İSTANBUL-SAW        ,                    ,2015,2015,121,KALKTI-DEPARTED     ,04.08.2015
DD,XQ ,9306 ,ADANA               ,                    ,2020,2020,162,KALKTI-DEPARTED     ,04.08.2015
DD,THY,7013 ,ANKARA              ,                    ,2020,2020,235,KALKTI-DEPARTED     ,04.08.2015
DD,TK ,2335 ,İSTANBUL            ,                    ,2025,2025,242,KALKTI-DEPARTED     ,04.08.2015
DD,TK ,2915 ,İSTANBUL-SAW        ,                    ,2050,2055,238,KALKTI-DEPARTED     ,04.08.2015
DD,YB ,3438 ,İSTANBUL-SAW        ,                    ,2100,2145,236,KAPI KAPANDI-GATE CLOSED,04.08.2015
DD,TK ,2337 ,İSTANBUL            ,                    ,2130,2130,161,KAPI KAPANDI-GATE CLOSED,04.08.2015
DD,THY,7015 ,ANKARA              ,                    ,2135,2235,241,GECİKMELİ-DELAYED   ,04.08.2015
DD,PC ,123  ,İSTANBUL-SAW        ,                    ,2140,2200,235,GECİKMELİ-DELAYED   ,04.08.2015
DD,TK ,2339 ,İSTANBUL            ,                    ,2200,2225,239,GECİKMELİ-DELAYED   ,04.08.2015
DD,PC ,2818 ,İSTANBUL            ,                    ,2230,2230,236,KAPIYA GİDİNİZ-GO TO GATE,04.08.2015
DD,8Q ,159  ,İSTANBUL            ,                    ,2245,2300,237,KONTUAR AÇIK-COUNTER OPEN,04.08.2015
DD,TK ,2921 ,İSTANBUL-SAW        ,                    ,2305,2305,240,KONTUAR AÇIK-COUNTER OPEN,04.08.2015
DD,PC ,4113 ,İSTANBUL-SAW        ,                    ,2315,2315,235,KONTUAR AÇIK-COUNTER OPEN,04.08.2015
DD,PC ,2138 ,ANKARA              ,                    ,2325,2325,239,KONTUAR AÇIK-COUNTER OPEN,04.08.2015
DD,PC ,2893 ,ADANA               ,                    ,0020,0020,236,KONTUAR AÇIK-COUNTER OPEN,05.08.2015
DD,TK ,2305 ,İSTANBUL            ,                    ,0500,0500,238,                    ,05.08.2015
DD,XQ ,9192 ,DİYARBAKIR          ,                    ,0600,0600,121,                    ,05.08.2015
DD,PC ,4119 ,İSTANBUL-SAW        ,                    ,0620,0620,235,                    ,05.08.2015
DD,XQ ,9158 ,SAMSUN              ,                    ,0630,0630,122,                    ,05.08.2015
DD,THY,7001 ,ANKARA              ,                    ,0640,0640,241,                    ,05.08.2015
DD,PC ,2890 ,ADANA               ,                    ,0650,0650,123,                    ,05.08.2015
DD,TK ,2901 ,İSTANBUL-SAW        ,                    ,0650,0650,239,                    ,05.08.2015
DD,PC ,260  ,ANTALYA             ,                    ,0650,0650,237,                    ,05.08.2015
DD,PC ,2130 ,ANKARA              ,                    ,0655,0655,236,                    ,05.08.2015
DD,XQ ,9006 ,ADANA               ,                    ,0700,0700,122,                    ,05.08.2015
DD,TK ,2307 ,İSTANBUL            ,                    ,0700,0700,240,                    ,05.08.2015
DD,SQ ,6237 ,İSTANBUL            ,                    ,0700,0700,240,                    ,05.08.2015
DD,KK ,029  ,İSTANBUL            ,                    ,0700,0700,242,                    ,05.08.2015
DD,XQ ,9064 ,İSTANBUL-SAW        ,                    ,0700,0700,121,                    ,05.08.2015
DD,PC ,2810 ,İSTANBUL            ,                    ,0705,0705,238,                    ,05.08.2015
DD,8Q ,151  ,İSTANBUL            ,                    ,0740,0740,235,                    ,05.08.2015
DD,PC ,115  ,İSTANBUL-SAW        ,                    ,0755,0755,236,                    ,05.08.2015
DD,AB ,5843 ,İSTANBUL-SAW        ,                    ,0755,0755,236,                    ,05.08.2015
DD,SQ ,6289 ,İSTANBUL            ,                    ,0800,0800,241,                    ,05.08.2015
DD,TK ,2309 ,İSTANBUL            ,                    ,0800,0800,241,                    ,05.08.2015
DD,XQ ,9090 ,ANTALYA             ,                    ,0800,0800,161,                    ,05.08.2015
DD,PC ,4419 ,İSTANBUL-SAW        ,                    ,0845,0845,235,                    ,05.08.2015
DD,TK ,2903 ,İSTANBUL-SAW        ,                    ,0845,0845,240,                    ,05.08.2015
DD,SQ ,6215 ,İSTANBUL            ,                    ,0900,0900,239,                    ,05.08.2015
DD,TK ,2311 ,İSTANBUL            ,                    ,0900,0900,239,                    ,05.08.2015
DD,PC ,2194 ,MARDİN              ,                    ,0940,0940,236,                    ,05.08.2015
DD,TK ,2905 ,İSTANBUL-SAW        ,                    ,0945,0945,241,                    ,05.08.2015
DD,PC ,4121 ,İSTANBUL-SAW        ,                    ,0950,0950,235,                    ,05.08.2015
DD,THY,7005 ,ANKARA              ,                    ,1020,1020,240,                    ,05.08.2015
DD,PC ,2460 ,SİVAS               ,                    ,1025,1025,237,                    ,05.08.2015
DD,SQ ,6263 ,İSTANBUL            ,                    ,1030,1030,242,                    ,05.08.2015
DD,TK ,2313 ,İSTANBUL            ,                    ,1030,1030,242,                    ,05.08.2015
DD,TK ,2907 ,İSTANBUL-SAW        ,                    ,1035,1035,239,                    ,05.08.2015
DD,TK ,2317 ,İSTANBUL            ,                    ,1100,1100,241,                    ,05.08.2015
DD,PC ,2812 ,İSTANBUL            ,                    ,1120,1120,236,                    ,05.08.2015
DD,KK ,021  ,İSTANBUL            ,                    ,1130,1130,238,                    ,05.08.2015
DD,PC ,117  ,İSTANBUL-SAW        ,                    ,1135,1135,235,                    ,05.08.2015
DD,TK ,2319 ,İSTANBUL            ,                    ,1200,1200,240,                    ,05.08.2015
DD,TK ,2321 ,İSTANBUL            ,                    ,1300,1300,239,                    ,05.08.2015
DD,8Q ,155  ,İSTANBUL            ,                    ,1305,1305,242,                    ,05.08.2015
DD,PC ,4115 ,İSTANBUL-SAW        ,                    ,1315,1315,235,                    ,05.08.2015
DD,KK ,025  ,İSTANBUL            ,                    ,1325,1325,241,                    ,05.08.2015
DD,TK ,2909 ,İSTANBUL-SAW        ,                    ,1345,1345,240,                    ,05.08.2015
DD,THY,7007 ,ANKARA              ,                    ,1405,1405,238,                    ,05.08.2015
DD,XQ ,9114 ,KARS                ,                    ,1410,1410,121,                    ,05.08.2015
DD,PC ,4415 ,İSTANBUL-SAW        ,                    ,1415,1415,236,                    ,05.08.2015
DD,PC ,2212 ,SAMSUN              ,                    ,1425,1425,122,                    ,05.08.2015
DD,XQ ,9184 ,VAN                 ,                    ,1440,1440,242,                    ,05.08.2015
DD,PC ,2132 ,ANKARA              ,                    ,1445,1445,235,                    ,05.08.2015
