DD,TK ,2995 ,Istanbul-Sabiha Gökçen,                    ,1835,1945    ,    ,Ucak Kalkti    ,04.08.2015  
DD,TK ,2559 ,Istanbul-Atatürk   ,                    ,1905,        ,    ,Ucak Kalkti    ,04.08.2015  
DD,PGT,273  ,Istanbul-Sabiha Gökçen,                    ,1910,2000    ,    ,Ucak Kalkti    ,04.08.2015  
DD,TK ,2957 ,Istanbul-Sabiha Gökçen,                    ,2025,2050    ,    ,Ucak Kalkti    ,04.08.2015  
DD,PGT,4293 ,Istanbul-Sabiha Gökçen,                    ,2045,2120    ,    ,Ucak Kalkti    ,04.08.2015  
DD,THY,7177 ,Ankara              ,                    ,2125,        ,    ,Ucak Kalkti    ,04.08.2015  
DD,OHY,131  ,Istanbul-Atatürk   ,                    ,2140,        ,    ,Ucak Kalkti    ,04.08.2015  
DD,PGT,4179 ,Istanbul-Sabiha Gökçen,                    ,2150,2240    ,    ,Gecikme        ,04.08.2015  
DD,TK ,2959 ,Istanbul-Sabiha Gökçen,                    ,2230,2330    ,    ,Gecikme        ,04.08.2015  
DD,TK ,2571 ,Istanbul-Atatürk   ,                    ,2315,        ,    ,Kontuar Açildi,04.08.2015  
DD,TK ,2561 ,Istanbul-Atatürk   ,                    ,2355,        ,    ,               ,04.08.2015  
DD,TK ,2573 ,Istanbul-Atatürk   ,                    ,0345,        ,    ,               ,05.08.2015  
DD,PGT,4295 ,Istanbul-Sabiha Gökçen,                    ,0600,        ,    ,               ,05.08.2015  
DD,TK ,2951 ,Istanbul-Sabiha Gökçen,                    ,0720,        ,    ,               ,05.08.2015  
DD,PGT,179  ,Istanbul-Sabiha Gökçen,                    ,0755,        ,    ,               ,05.08.2015  
DD,TK ,2553 ,Istanbul-Atatürk   ,                    ,0825,        ,    ,               ,05.08.2015  
DD,TK ,2953 ,Istanbul-Sabiha Gökçen,                    ,0855,        ,    ,               ,05.08.2015  
