DD,TK ,2519 ,İSTANBUL            ,                    ,2015,2015,B01,KALKTI-DEPARTED     ,04.08.2015
DD,TK ,2989 ,İSTANBUL-SAW        ,                    ,2025,2125,B06,KALKTI-DEPARTED     ,04.08.2015
DD,8Q ,129  ,İSTANBUL            ,                    ,2040,2040,B02,KALKTI-DEPARTED     ,04.08.2015
DD,PC ,175  ,İSTANBUL-SAW        ,                    ,2040,2050,B04,KALKTI-DEPARTED     ,04.08.2015
DD,TK ,2947 ,İSTANBUL-SAW        ,                    ,2055,2135,B03,KALKTI-DEPARTED     ,04.08.2015
DD,KK ,2047 ,İSTANBUL-SAW        ,                    ,2100,2200,B02,GECİKMELİ-DELAYED   ,04.08.2015
DD,THY,7347 ,İSTANBUL-SAW        ,                    ,2100,2200,B05,KAPI KAPANDI-GATE CLOSED,04.08.2015
DD,PC ,177  ,İSTANBUL-SAW        ,                    ,2120,2220,   ,GECİKMELİ-DELAYED   ,04.08.2015
DD,THY,7155 ,ANKARA              ,                    ,2130,2145,B04,KAPI KAPANDI-GATE CLOSED,04.08.2015
DD,PC ,2467 ,ANKARA              ,                    ,2145,2205,B01,UÇAĞA GİDİNİZ-BOARDING,04.08.2015
DD,PC ,171  ,İSTANBUL-SAW        ,                    ,2245,2245,   ,                    ,04.08.2015
DD,TK ,2525 ,İSTANBUL            ,                    ,2300,2300,   ,                    ,04.08.2015
DD,TK ,2539 ,İSTANBUL            ,                    ,0600,0600,   ,                    ,05.08.2015
DD,PC ,4479 ,İSTANBUL-SAW        ,                    ,0605,0605,   ,                    ,05.08.2015
DD,TK ,2939 ,İSTANBUL-SAW        ,                    ,0720,0720,   ,                    ,05.08.2015
DD,PC ,173  ,İSTANBUL-SAW        ,                    ,0755,0755,   ,                    ,05.08.2015
DD,TK ,2505 ,İSTANBUL            ,                    ,0815,0815,   ,                    ,05.08.2015
DD,KK ,041  ,İSTANBUL            ,                    ,0840,0840,   ,                    ,05.08.2015
DD,TK ,2941 ,İSTANBUL-SAW        ,                    ,0855,0855,   ,                    ,05.08.2015
DD,KK ,2041 ,İSTANBUL-SAW        ,                    ,0900,0900,   ,                    ,05.08.2015
DD,PC ,4173 ,İSTANBUL-SAW        ,                    ,0940,0940,   ,                    ,05.08.2015
DD,TK ,2943 ,İSTANBUL-SAW        ,                    ,1000,1000,   ,                    ,05.08.2015
DD,THY,7151 ,ANKARA              ,                    ,1020,1020,   ,                    ,05.08.2015
DD,8Q ,127  ,İSTANBUL            ,                    ,1105,1105,   ,                    ,05.08.2015
DD,TK ,2509 ,İSTANBUL            ,                    ,1125,1125,   ,                    ,05.08.2015
DD,PC ,4175 ,İSTANBUL-SAW        ,                    ,1150,1150,   ,                    ,05.08.2015
DD,TK ,2511 ,İSTANBUL            ,                    ,1235,1235,   ,                    ,05.08.2015
DD,TK ,2945 ,İSTANBUL-SAW        ,                    ,1400,1400,   ,                    ,05.08.2015
DD,KK ,043  ,İSTANBUL            ,                    ,1410,1410,   ,                    ,05.08.2015
DD,TK ,2507 ,İSTANBUL            ,                    ,1505,1505,   ,                    ,05.08.2015
DD,PC ,4477 ,İSTANBUL-SAW        ,                    ,1610,1610,   ,                    ,05.08.2015
DD,PC ,4171 ,İSTANBUL-SAW        ,                    ,1640,1640,   ,                    ,05.08.2015
DD,TK ,2515 ,İSTANBUL            ,                    ,1640,1640,   ,                    ,05.08.2015
DD,PC ,4471 ,İSTANBUL-SAW        ,                    ,1840,1840,   ,                    ,05.08.2015
DD,TK ,2517 ,İSTANBUL            ,                    ,1910,1910,   ,                    ,05.08.2015
DD,KK ,045  ,İSTANBUL            ,                    ,1920,1920,   ,                    ,05.08.2015
DD,TK ,2519 ,İSTANBUL            ,                    ,2030,2030,   ,                    ,05.08.2015
DD,8Q ,129  ,İSTANBUL            ,                    ,2040,2040,   ,                    ,05.08.2015
DD,PC ,175  ,İSTANBUL-SAW        ,                    ,2040,2040,   ,                    ,05.08.2015
DD,TK ,2947 ,İSTANBUL-SAW        ,                    ,2055,2055,   ,                    ,05.08.2015
DD,KK ,2047 ,İSTANBUL-SAW        ,                    ,2100,2100,   ,                    ,05.08.2015
DD,THY,7347 ,İSTANBUL-SAW        ,                    ,2100,2100,   ,                    ,05.08.2015
DD,PC ,177  ,İSTANBUL-SAW        ,                    ,2120,2120,   ,                    ,05.08.2015
DD,THY,7155 ,ANKARA              ,                    ,2130,2130,   ,                    ,05.08.2015
DD,PC ,2467 ,ANKARA              ,                    ,2145,2145,   ,                    ,05.08.2015
