DD,THY,7263 ,Istanbul S.Gokcen   ,                    ,2125,    ,A2  ,Gecikmeli                     ,04.08.2015
DD,PC ,2895 ,Izmir               ,                    ,2130,2155,B2  ,Uçaga Gidiniz                ,04.08.2015
DD,BRJ,3402 ,Istanbul S.Gokcen   ,                    ,2210,2250,A1  ,40 Dak Gecikmeli              ,04.08.2015
DD,TK ,2471 ,Istanbul            ,                    ,2215,2230,A2  ,Uçaga Gidiniz                ,04.08.2015
DD,XQ ,9307 ,Izmir               ,                    ,2220,    ,A3  ,Guvenlik Kontrolü            ,04.08.2015
DD,PC ,2892 ,Izmir               ,                    ,2225,    ,B2  ,Guvenlik Kontrolü            ,04.08.2015
DD,PC ,127  ,Istanbul S.Gokcen   ,                    ,2240,2340,B1  ,Guvenlik Kontrolü            ,04.08.2015
DD,TK ,2451 ,Istanbul            ,                    ,0335,    ,    ,                              ,05.08.2015
DD,THY,7265 ,Istanbul S.Gokcen   ,                    ,0615,    ,    ,                              ,05.08.2015
DD,PC ,4133 ,Istanbul S.Gokcen   ,                    ,0615,    ,    ,                              ,05.08.2015
DD,KK ,039  ,Istanbul            ,                    ,0630,    ,    ,                              ,05.08.2015
DD,PC ,2404 ,Antalya             ,                    ,0645,    ,    ,                              ,05.08.2015
DD,TK ,2453 ,Istanbul            ,                    ,0645,    ,    ,                              ,05.08.2015
DD,THY,7107 ,Ankara              ,                    ,0655,    ,    ,                              ,05.08.2015
DD,8Q ,011  ,Istanbul            ,                    ,0750,    ,    ,                              ,05.08.2015
DD,PC ,125  ,Istanbul S.Gokcen   ,                    ,0750,    ,    ,                              ,05.08.2015
DD,TK ,2455 ,Istanbul            ,                    ,0825,    ,    ,                              ,05.08.2015
DD,PC ,2891 ,Izmir               ,                    ,0840,    ,    ,                              ,05.08.2015
DD,BRJ,107  ,Bodrum              ,                    ,0850,    ,    ,                              ,05.08.2015
DD,KK ,031  ,Istanbul            ,                    ,0855,    ,    ,                              ,05.08.2015
DD,XQ ,9007 ,Izmir               ,                    ,0855,    ,    ,                              ,05.08.2015
DD,THY,7261 ,Istanbul S.Gokcen   ,                    ,0910,    ,    ,                              ,05.08.2015
DD,XQ ,7631 ,Antalya             ,                    ,0915,    ,    ,                              ,05.08.2015
DD,PC ,2429 ,Van                 ,                    ,0945,    ,    ,                              ,05.08.2015
DD,PC ,4127 ,Istanbul S.Gokcen   ,                    ,0955,    ,    ,                              ,05.08.2015
DD,THY,7101 ,Ankara              ,                    ,1020,    ,    ,                              ,05.08.2015
DD,TK ,2459 ,Istanbul            ,                    ,1130,    ,    ,                              ,05.08.2015
DD,8Q ,013  ,Istanbul            ,                    ,1155,    ,    ,                              ,05.08.2015
DD,TK ,2481 ,Istanbul            ,                    ,1220,    ,    ,                              ,05.08.2015
DD,PC ,4429 ,Istanbul S.Gokcen   ,                    ,1305,    ,    ,                              ,05.08.2015
DD,PC ,2408 ,Antalya             ,                    ,1330,    ,    ,                              ,05.08.2015
DD,PC ,2427 ,Trabzon             ,                    ,1355,    ,    ,                              ,05.08.2015
DD,TK ,2461 ,Istanbul            ,                    ,1410,    ,    ,                              ,05.08.2015
DD,PC ,4129 ,Istanbul S.Gokcen   ,                    ,1520,    ,    ,                              ,05.08.2015
DD,THY,7103 ,Ankara              ,                    ,1535,    ,    ,                              ,05.08.2015
DD,TK ,2463 ,Istanbul            ,                    ,1610,    ,    ,                              ,05.08.2015
DD,PC ,2406 ,Antalya             ,                    ,1630,    ,    ,                              ,05.08.2015
DD,THY,7267 ,Istanbul S.Gokcen   ,                    ,1640,    ,    ,                              ,05.08.2015
DD,TK ,2467 ,Istanbul            ,                    ,1830,    ,    ,                              ,05.08.2015
DD,PC ,129  ,Istanbul S.Gokcen   ,                    ,1855,    ,    ,                              ,05.08.2015
DD,PC ,4125 ,Istanbul S.Gokcen   ,                    ,1955,    ,    ,                              ,05.08.2015
DD,TK ,2469 ,Istanbul            ,                    ,2000,    ,    ,                              ,05.08.2015
DD,XQ ,7711 ,Antalya             ,                    ,2030,    ,    ,                              ,05.08.2015
DD,KK ,033  ,Istanbul            ,                    ,2040,    ,    ,                              ,05.08.2015
DD,THY,7263 ,Istanbul S.Gokcen   ,                    ,2125,    ,    ,                              ,05.08.2015
DD,THY,7105 ,Ankara              ,                    ,2125,    ,    ,                              ,05.08.2015
DD,PC ,2895 ,Izmir               ,                    ,2130,    ,    ,                              ,05.08.2015
